Site,Quadrat,Actinonaias.ligamentina,Alasmidonta.marginata,Amblema.plicata,Ellipsaria.lineolata,Fusconaia.flava,Lampsilis.cardium,Lampsilis.teres,Lasmigona.costata,Leptodea.fragilis,Megalonaias.nervosa,Obliquaria.reflexa,Obovaria.jacksoniana,Plectomerus.dombeyanus,Potamilus.purpurata,Ptychobranchus.occidentalis,Quadrula.cylindrica,Quadrula.pustulosa,Quadrula.quadrula,Quadrula.verrucosa,Strophitus.undulatus,Toxalosma.parva,Tritogonia.verrucosa,Truncilla.donaciformis,Truncilla.truncata,Unknown,Villosa.arkansasensis,EMPTY
L3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0
L3,15,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0
LY,1,0,0,0,4,4,0,0,0,0,0,4,0,0,0,0,0,8,4,0,0,0,0,0,4,0,0,0
LY,2,4,0,8,0,4,0,0,4,0,0,0,0,0,0,0,0,12,8,0,0,0,0,0,0,0,0,0
LY,3,12,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0
LY,4,20,0,0,4,12,0,0,0,0,0,0,0,8,0,0,0,24,0,0,0,0,0,4,0,0,0,0
LY,5,0,0,20,0,0,0,0,0,0,0,4,0,0,0,0,0,8,4,0,0,0,0,0,4,0,0,0
LY,6,12,0,12,4,8,4,0,0,0,0,0,0,8,0,0,0,4,4,0,0,0,0,0,0,0,0,0
LY,7,20,0,16,0,0,0,0,0,4,0,8,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
LY,8,8,0,4,0,4,0,0,0,0,4,4,0,0,0,0,0,16,0,0,0,0,0,0,4,0,0,0
LY,9,16,0,12,4,0,4,0,0,0,4,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
LY,10,24,0,8,0,0,0,0,0,0,4,4,0,4,0,0,0,4,0,0,0,0,0,4,0,0,0,0
LY,11,20,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LY,12,20,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,12,0,0,0,0,0,0,4,0,0,0
LY,13,20,0,8,0,0,0,0,0,0,4,0,0,4,0,0,0,8,4,0,0,0,0,0,4,0,0,0
LY,14,20,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LY,15,4,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LY,16,20,0,4,0,0,0,0,0,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
LY,17,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0
LY,18,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
LY,19,8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
LY,20,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
